TradeDate,Symbol,Quantity,TPrice,Proceeds,CommFee,RealizedPL,Code,BuySell,OrderType,Description,AssetClass
"2026-01-24, 00:00:00",AAPL,100,185.50,-18550.00,-1.00,,O,BUY,LMT,AAPL Stock,STK
"2026-02-23, 00:00:00",AAPL,100,178.20,-17820.00,-1.00,,O,BUY,LMT,AAPL Stock,STK
"2026-01-04, 00:00:00",NVDA,50,420.00,-21000.00,-1.00,,O,BUY,MKT,NVDA Stock,STK
"2026-03-25, 00:00:00",NVDA,50,380.00,-19000.00,-1.00,,O,BUY,LMT,NVDA Stock,STK
"2026-04-24, 00:00:00",TSLA,25,245.00,-6125.00,-1.00,,O,BUY,MKT,TSLA Stock,STK
"2025-11-15, 00:00:00",MSFT,50,310.00,-15500.00,-1.00,,O,BUY,LMT,MSFT Stock,STK
"2026-04-14, 00:00:00",MSFT,50,350.00,17500.00,-1.00,2000.00,C,SELL,LMT,MSFT Stock,STK
"2026-05-24, 00:00:00",AAPL  240816P00200000,-1,2.50,250.00,-1.24,,O,SELL,LMT,AAPL AUG16 24 200 PUT,OPT
"2026-06-23, 00:00:00",AAPL  240816P00200000,1,0.05,-5.00,-1.24,243.52,C;Ep,BUY,MKT,AAPL AUG16 24 200 PUT,OPT
"2026-06-08, 00:00:00",NVDA  240719P00380000,-2,5.20,1040.00,-2.48,,O,SELL,LMT,NVDA JUL19 24 380 PUT,OPT
2026-07-06,NVDA,200,380.00,-76000.00,-1.00,,A;Ep,BUY,MKT,NVDA Stock (Assignment),STK
"2026-07-13, 00:00:00",TSLA  240816P00230000,-1,3.80,380.00,-1.24,,O,SELL,LMT,TSLA AUG16 24 230 PUT,OPT
"2026-06-03, 00:00:00",AMD   240719P00150000,-1,1.20,120.00,-1.24,,O,SELL,LMT,AMD JUL19 24 150 PUT,OPT
"2026-07-03, 00:00:00",AMD   240719P00150000,1,0.50,-50.00,-1.24,-70.00,C;R,BUY,LMT,AMD JUL19 24 150 PUT (Roll),OPT
"2026-07-03, 00:00:00",AMD   240816P00145000,-1,1.80,180.00,-1.24,,O;R,SELL,LMT,AMD AUG16 24 145 PUT (Roll),OPT
"2026-06-08, 00:00:00",AAPL  240719C00200000,-1,1.50,150.00,-1.24,,O,SELL,LMT,AAPL JUL19 24 200 CALL,OPT
"2026-07-08, 00:00:00",AAPL  240719C00200000,1,0.05,-5.00,-1.24,143.52,C;Ep,BUY,MKT,AAPL JUL19 24 200 CALL,OPT
"2026-07-18, 00:00:00",AAPL  240816C00210000,-2,1.20,240.00,-2.48,,O,SELL,LMT,AAPL AUG16 24 210 CALL,OPT
"2026-07-08, 00:00:00",NVDA  240719C00400000,-2,3.50,700.00,-2.48,,O,SELL,LMT,NVDA JUL19 24 400 CALL,OPT
2026-07-20,NVDA,-200,400.00,80000.00,-1.00,4000.00,C;Ex,SELL,MKT,NVDA Stock (Called Away),STK
"2026-07-18, 00:00:00",TSLA  240816C00260000,-1,2.10,210.00,-1.24,,O,SELL,LMT,TSLA AUG16 24 260 CALL,OPT
"2025-09-26, 00:00:00",JPM,30,145.00,-4350.00,-1.00,,O,BUY,LMT,JPM Stock,STK
"2026-01-04, 00:00:00",JPM,20,155.00,-3100.00,-1.00,,O,BUY,LMT,JPM Stock,STK
"2025-11-15, 00:00:00",XOM,40,110.00,-4400.00,-1.00,,O,BUY,MKT,XOM Stock,STK
"2026-04-14, 00:00:00",PLTR,200,22.50,-4500.00,-1.00,,O,BUY,MKT,PLTR Stock,STK
2026-06-08,AAPL,,,48.00,,,Po,,,AAPL Dividend,DIV
2026-06-08,JPM,,,37.50,,,Po,,,JPM Dividend,DIV
